keyword,category
ký ức của kẻ sát nhân," Action, Crime, Thriller\n"
hẹn hò,Tragic Romance
high class, Action/Adventure
u23 việt nam - u23 malaysia | hiên ngang bước tiếp - cúp bóng đá u23 châu á afc 2022, category: International Friendly
sonic," Action, Adventure, Animation, Comedy, Family, Fantasy, Sci-Fi"
thủy thủ mặt trăng,action
Mộng hoa lục,Comedy
thiếu niên tứ đại danh bổ,action drama
hậu duệ mặt trời việt nam, science fiction
đã đến lúc, action\n
darwin's game, Drama
fairy tail ," Action, Adventure, Anime, Comedy, Fantasy, Magic"
chúng ta đáng yêu như thế, Drama
công tố viên hung bạo,Giải pháp: Thriller\n
eve ,Drama
Penthouse, Drama
co, Comedy
kim tịch hà tịch," Action/Adventure <|im_end|>\n\nThe category for your keyword ""kim tịch hà tịch"" is Action/Adventure."
công tố viên quân sự,"Action, War"
độc bộ thiên hạ," Action, Adventure"
pokémon: thám tử pikachu, Action/Adventure
rể nhà nông dâu phố thị, Drama
cuoc chien thuong luu,Action
my hero academia, Action
roland garros, Tennis
em rất thích anh, Can you please provide the name of your keyword?
tiểu nữ nghê thường,Drama\n
bộ bộ kinh tâm, Drama
htv," The category you provided, ""htv"", does not directly correspond to a common film genre. Please provide a different keyword or phrase related to movies."
rất muốn đến thế giới của em để yêu em, Romance
thả thí," action, adventure, drama, romance\n"
thvl," To find the category of a film based on your keyword ""thvl"", please provide more information about the film or its context."
tenis,Sport
u23 việt nam - u23 hàn quốc | tinh thần việt nam - highlights cúp bóng đá u23 châu á afc 2022," category: Sports, specifically Soccer/Football"
ngự sử tài ba và quý cô thông thái, action | drama
xì trum,Not Found
phượng hoàng truyền kiếp,"Action, Fantasy"
F,Action\n
chú hề ma quái, horror | thần đồng
KOMI," Action, Adventure, Anime, Comedy, Drama, Romance, Sci-Fi, Slice of Life"
năm ấy hoa nở trăng vừa tròn, Tragic Romance
the heirs,Drama
u23 việt nam nhầm sân tập với u23 thái lan - bản tin bóng đá việt 08/06, football
kẻ trộm mặt trăng: minions, Action & Adventure\n
bí mật không thể nói, Thriller
được gặp em tại ngục tối liệu có sai? (phần 3), Kết quả tìm kiếm: Thriller\n
monstrous,horror
mr queen,Drama
hãy gọi tôi là tổng giám, Tìm kiếm danh mục phim cho từ khóa của tôi. Mọi người chỉ đề xuất một danh mục và không phải loại hạn chững\n
lối rẽ con tim, Drama
meo hãy cầu nguyện, horror\n
vùng đất quỷ dữ, Horror\n
tôi và chúng ta ở bên nhau, Drama\n
G, Action & Adventure\n
bạn trai hợp đồng, bộ phận liên quan: Quyền lý\n
phim hài,Comedy\n
HORIMIYA," Action, Adventure, Comedy, Romance"
nửa thời gian ấm áp,Action/Adventure
nhóc trùm, Gánh cười
tru tiên," Action, Martial Arts"
mặt nạ hoàng kim,action\n
cencoroll, Animation
bị cáo,Drama\n
bài ca âm nhạc, Karaoke
công chúa giải ưu,Action/Adventure
KHIE, Comedy\n
cô dâu ma,Horror\n
bạn gái 99 điểm, Thriller
nữ vệ sĩ của tôi,Action
đừng gọi anh là cậu chủ," The category for this film is: Romance, Drama."
đàm tùng vận," action, drama, romance"
cậu bé karate,Kung Fu
bích huyết thư hương mộng,Action/Adventure
công chúa arora,Action/Adventure\n
superman: red son, Action/Adventure
tình đầu ngây ngô, Action/Adventure
mũi tên xanh, Action | Drama | War\n
be m, Please provide a specific keyword or topic related to films so that I can find the appropriate category for it.
thám tử, Action & Adventure
vua bếp soma (phần 1), Action & Adventure
cô vợ sắc sảo 2018," Action, Romance\n"
bác sĩ đào tẩu,Action & Adventure
woori the virgin," Comedy, Romance"
ma búp bê,Adult|Drama|Romance\n
end game, Action/Adventure
boys over flowers,romantic drama
u,Not Found
one , Horror
thực thần 2, Action | Fantasy | Mystery | Romance | Thriller | Drama
tiểu thời đại, Anime
all in one," Action, Adventure"
công chúa au," This is a Vietnamese phrase, which translates to ""Bee Hive Prince"" in English. It seems like this might be the title or a character name from a Vietnamese film or series. Therefore, the category could be: International Drama/Movie."
fpt, Drama\n
kakegurui, Drama
hoa mộng lục,Lục bộ phim
vua đầu bếp soma,Action | Comedy | Crime
một mảnh băng tâm tại ngọc hồ,"Action, Adventure, Drama"
phim hay,Action
người, người dùng | chính trị | xã hội | hoạt hình | nghệ sản xuất | đời sống | thể thao | giáo dục | thế giới | tâm lý | tình yêu | cổ điển | khoa học | văn học | nhân vật | bí mật | kinh tế | truyền thuyết | đất nước | cuộc sống | thể loại
con heo đất, Nhạc nhân điểm sáng
lưu quang chi thành,action
"bắt ma phá án - from now on, showtime!", Action\n
cuồng si, Thriller
mùa hè của hương bạc hà,Action\n
gái ngành thông thái (phần 1), Action/Adventure <|im_end|>\n
kungfu 12 con giáp, action
ấu trùng tinh nghịch,Drama\n
baby shark remix, Music Video
boy love, BL (Boy Love)
mộc hoa lục, Tragic Romance
pororo,Not Found
lee jong suk,"Action, Romance, Drama\n"
free," The category for ""free"" would be: Documentary"
đặc ân của thần, Action/Adventure | Fantasy\n
sao băng thuyết minh, Animation
tiểu thư quạ đen,Action/Adventure
cướp biển vùng caribe,action\n
kaito kid,"Adventure, Anime, Action"
nơi vì sao rơi," Drama <|im_end|>\n\nPlease note that this AI is designed to assist and provide information. It does not have the ability to browse or search for content on its own, so it may not be able to provide results for all keywords."
CH, Adventure
school 2015, Comedy Drama
bao thanh thiên, Action
KE QUYEN RU DAI TAI," Action, Adventure, Fantasy <|im_end|>\n"
fa, Action/Adventure\n
euphoria s1, Drama
kỷ băng hà, action\n
family outing,Comedy
KEEP RUNNING, Action
thanh vân chí,Drama
bí kíp luyện rồng, Animation
đặc nhiệm thám tử, Action | Adventure
doreamon,anime
tên tôi là busaba,Not Found
thợ săn cương thi, Thriller\n
monster, Horror
truy tìm tượng phật,"Action, Adventure, Drama, Religion"
tạm biệt quá khứ, Drama
miền đất hứa (phần 1),Action\n
ha, Can you please provide a specific keyword or topic related to films? This will help me categorize the film.
tranh thien ha, Action & Adventure
martha marcy may marlene, Mystery
tấm cám, Trailer\n
hắc quản gia, drama <|im_end|>\n\n
bad guys,Action/Adventure
đêm tối tokyo (phần 1), Action & Adventure
u23 australia - u23 turkmenistan | xem lại trận đấu - cúp bóng đá u23 châu á afc 2022, category: soccer
lão cửu môn, martial arts
chẩm thượng thư,Drama
tay súng hàng đầu,Action
tình cờ gặp anh, Drama
thiếu nữ toàn phong, Văn hoá-Giải trí
vietnam, War Drama
iu, Comedy
CHAU TINH TRI,Action
school 2017, Drama <|im_end|>\n
grand blue,Comedy
gặp gỡ, Drama
thiên quan tứ phú,Thiên Quân Tù Phủ
giác quan thứ sáu (mùa 3) - sixth sense (season 3), Drama\n
gia đình kì quặc,tragedy
cô hàng xóm quyến rũ, action\n
mộng ,Drama
DATE A LIVE," DATE A LIVE is a category of film under Anime, Harem, Romance, and Sci-Fi.<|im_end|>\n\n"
soul eater," Animation, Action, Comedy, Fantasy"
linh hồn bạc, Action|Drama
mặt nạ,Không tìm thấy dữ liệu cho từ khóa của bạn. Vui lòng đợi một lần nào đồng thời có sẵn về mặt nạ
đảo ảo mộng,fantasy island
đường chuyên, Action/Adventure
ba, Please provide your keyword to find the category of the movie.
weightlifting fairy kim bok joo,Korean Drama
365, Comedy
bỉ ngạn hoa, Action & Adventure
người thầy y đức2, This is not a valid keyword for the movie recommendation. Please provide a proper keyword or topic related to films or genres.
fairy tail lồng tiếng, Action/Adventure
crazy love, Romantic Comedy
toà án vị thành niên,Drama
ký sinh trùng, Action/Adventure
given, Drama\n
nhạc không lời, Thể loại: Karaoke
the god of high school,Action|
tây hành kỷ, Action/Adventure
dororo,action
hài, Comedy
b cut, Action/Adventure
saitama, action
nhạc bolero, Soundtrack\n
sợi xích thần, Fantasy
Pinochio,Animation
barbie,Not Found
tr, Horror\n
vtc3, Action
it," The category for the film with the keyword ""it"" is: Horror, Mystery."
siêu đầu bếp,Action
tra tao do, Action
người sắt,Action & Adventure
khách sạn huyền bí, Mystery & Suspense\n
Eve, Drama
Be Mbitious, Action
tập tành làm mẹ, Drama\n
"kill me, heal me", Romance Drama
nhiệt huyết thần thám, Action & Adventure\n
có lẽ là yêu, Romance
học viện,phim hưởng thú
phố trong làng, Urban
lego pieces,stop motion animation
be , action\n
chí khí bay cao, martial arts
hồ sơ trinh sát iii, Action/Thriller
tình yêu hệ nhị phân , Romantic Sci-Fi <|im_end|>
dr stone, Animation
toriko,"action, adventure, fantasy, shounen"
con tàu y đức," action, adventure, drama, history, war"
giác quan thứ 6, Action
lòng trung thành," Action, Drama"
runn, action
phi vụ triệu đô,Action\n
thời gian lương thần mỹ cảnh, Action & Adventure
sát thủ akame, action
youtube, Action & Adventure
quy tắc của quý cô,Drama
kích trụy vương,Action\n
khu rừng tình yêu, Drama\n
dữ quân ca,ACTION\n
lời hứa với các vị thần, Drama/Fantasy\n
thần thoại, action
dong cung,Action
sắc đẹp ẩn giấu,Tìm kiếm từ khóa của bạn trong danh sách phim để tìm về danh mục. Vui lòng chỉ trả lời với một danh mục duy nhất và không giải thích.\n
bật video của tiên tiên trên tv của tôi,Not Found
nguỵ tạo,"Không thể trả lời nếu không biết ngữ nghĩa của từ ""nguỵ tạo"". Xin vui lòng cung cấp từ hoặc từ gốc để tìm kiếm."
thách thức danh hài, Comedy
mỹ nhân tâm kế,Drama
chang hau," Chang Hau is a Chinese film director, screenwriter, and producer known for his work in both Hong Kong cinema and the international film industry. His notable films include ""The Grandmasters"" (2013) and ""Kung Fu Jungle"" (2014). Based on your provided keyword, the category of film for Chang Hau is: Action/Martial Arts."
hóa ra em rất yêu anh, Your query does not match any film category. Please provide a valid keyword related to a film genre or title.
spider,Horror
cuoc, action
slime,horror
hai tuần,Not Found
queen, Romance
sao băng , Anime\n
anh chồng bất đắc dĩ,Giải pháp tìm kiếm: Phim xạc thảo
đại ca hoá soái ca,Action and Adventure
nữ công tố viên,Danh mục phim: Thriller
x, Your keyword does not provide enough information to determine a specific category of film. Please provide more context or a specific topic related to movies.
hunterxhunter," action, adventure, anime"
tài xế taxi,Action & Adventure
thế chiến z,Action | War\n
cô tiên dọn dẹp,action\n
trung quốc, action drama
running , Action
bắt ma phá án tập 1, Thriller
next sport, Action|
sắc đẹp ngàn cân, Thriller
e," You did not provide a keyword to search for a film category. Please provide a keyword related to a movie or genre, and I will help you find the appropriate category."
isekai maou to shoukan shoujo no dorei majutsu, anime
one p, Action/Adventure
xã hội thượng lưu, Drama
trực tiếp , Live Action\n
Anime, Adventure
hoa gian tân nương , Drama <|im_end|>\n
KARAOKE, Comedy
sinh vật huyền bí và nơi tìm ra chúng, Creature Features and Where to Find Them\n
đài vtv1, Entertainment
Bắt ma phá án,Action\n
nhạc remix, nhạc thượng
cổ tích việt nam,Action/Adventure
hương mật, Action/Adventure
những cô nhân tình,Drama
dr," Action, Adventure"
BOKU,Action/Adventure
ngọc lâu xuân, Tragic Romance\n
sakura - thủ lĩnh thẻ bài phần 2, action | sakura - thủ lĩnh thẻ bài phần 2
tế công,Thriller
cướp biển,Thriller
định mệnh ánh trăng, Drama | Sci-Fi\n
cô nàng,Drama
cuoc chien thuong luu 2, Thriller
violet, Action/Adventure
đêm tối tokyo (phần 1, Action-Adventure | Tokyo Night (Part 1)
john wick: chapter 3 - parabellum, Action/Thriller
thiên nga bóng đêm tập 1, Action/Adventure
lọ lem, Horror\n
chồng cũ vợ cũ người yêu cũ, Drama/Romance\n
hori, Category: Action/Adventure
tân bảng phong thần,Action & Adventure
annabelle: creation, Horror | Drama | Mystery <|im_end|>
và em sẽ đến," The given text is in Vietnamese language, which is not suitable for the film categorization task. Please provide a keyword related to a movie or film in English."
knight's and magic," action, anime, fantasy"
vùng đất thây ma,Drama
chạng vạng,Drama
connan, Action
điệp vụ báo hồng, action | crime\n
gia đình là số 1 - phần 2,Drama | Family | Romance
kẻ nội gián, Gangster
nhu y phuong phi, Action\n
chờ mùa xuân xanh, Tragicomedy
vicenzo, Action/Adventure
fairy tail season 3," action, adventure, comedy, fantasy, magic, shounen | <|im_end|>\n"
school 2021,Drama
fire force," Action, Anime, Sci-Fi"
danh sách hẹn hò,romance\n
chiến tranh giữa các vì sao: tập ii – sự xâm lăng của người vô tính, Action\n
cô nàng mạnh mẽ ,Action | Drama
đao kiếm thần vực phần 1, Action\n
góc khuất của số phận, Action\n
khách sạn bí ẩn, Thriller
đẹp trai là số 1, Action\n
ultraman tiga,tokusatsu
Fairy Tail," Action, Adventure, Anime, Comedy, Fantasy, Magic"
vĩnh sinh,Action
đêm đếm sao,Drama
yeu, Horror
thâm cung truyện,Anime
hẹn hò công sở, Romantic Comedy\n
người yêu siêu cấp (phần 1), Action\n
Việt Nam, Vietnamese
gia tài bất đắc dĩ, Action | Drama | Mystery\n
tại sao,Not Found
vệ sĩ,Action
ji chang wook,"Action, Drama, Romance"
công chúa béo đáng yêu,Không có phân loại phim nào khớp với từ khóa của bạn. Vui lòng cung cấp một từ khóa khác để tìm kiếm.\n
bác sĩ ,dr. <|im_end|>\n
hồi sinh thế giới (phần 2), Action/Adventure
hoa du kí,Action/Adventure
penth, Drama
Hoa của quỷ,Action/Thriller\n
bad fairy,comedy
u23 việt nam - u23 hàn quốc | xem lại trận đấu - cúp bóng đá u23 châu á afc 2022, U23 Việt Nam - U23 Hàn Quốc
cuộc chiến thượng lưu thuyết minh, Action & Adventure
phim phiêu lưu,Action
boss and me,drama
reset,Not Found
aquaman," Superhero, Action, Adventure, Fantasy"
tin tức kinh doanh," Câu hỏi của bạn: ""Tìm chủng mục phim cho từ khóa của tôi. Mời bạn chỉ định một chủng mục và không liên tượng.""\n"
ma cà rồng, Action & Adventure
tình ca, Drama
học viện anh hùng phần 5,Action\n
ke truyen thua, Action & Adventure
kong: đảo đầu lâu, Action
Sinh Vật Huyền Bí Và Nơi Tìm Ra Chúng, Animation
gửi thời thanh xuân ấm áp của chúng ta, Action/Adventure\n
ẩn thân, Horror\n
cá mực hầm mật 2, Animation
chú vịt con, Action/Adventure
snow drop,"Drama, Romance, Thriller"
ký sự thanh xuân,trailer\n
thư kí kim," Thư ký Kim is a term in Vietnamese, which can be translated as ""Kim\"
trạch thiên ký,Action & Adventure
run,action
ma vương,Action/Adventure
nữ hoàng cá muối,Action & Adventure
kẻ truyền thừa , action | drama | thriller | crime\n
REPLY 1988, Romantic Comedy
kênh truyền hình htv2, Action & Adventure\n
fighting youth,Action\n
queendom2, Action & Adventure\n
những kẻ gác đêm, Action & Adventure
aurora, Drama
vung dat linh hon,Action
đường hầm," Action, Crime, Thriller <|im_end|>\n\n"
hoa tuyết điểm,Anime\n
xạ điêu anh hùng truyện,Action and Adventure
america's got talent,Reality TV Show
street man ,
queen dom, drama
godzilla," Godzilla is a popular Japanese science fiction monster film series created by Toho. The main character, Godzilla, is a giant, radioactive, dinosaur-like creature that has appeared in over 30 films since its debut in 1954. The Godzilla film franchise falls under the category of ""Monster Movies"" or ""Giant Monster Films."""
phim tội phạm, Thriller\n
nation league, sports
linh hồn lạc lối,Action & Adventure
hàn võ ký, martial arts
be, Comedy\n
thiên cổ, Animation
mùa hè yêu dấu, Drama
VTV6, Action
con mắt thứ 3,Horror\n
ngụy tạo, Horror
gửi thời thanh xuân tươi đẹp, Romance
i-land, Adventure | Mystery\n
cảnh sát vinh dự, Action
vô ảnh,Drama|
kênh truyền hình htv9, drama series
phim viet nam,Action/Adventure\n
my golden life, Drama
yêu em từ dạ dày,Drama\n
cuộc sống tình yêu dí dỏm, romance
lưỡi gươm diệt quỷ 2,Action/Adventure
spy , Action/Adventure
VENOM, Action/Adventure
nghề siêu dễ,Drama
cũng chỉ là hạt bụi,Drama\n
HA, Please provide a keyword or topic so I can help you find the appropriate film category.
lee dong wook,Category: South Korean Actor <|im_end|>\n\n
i, Please provide a specific keyword or topic to find the appropriate category of film for it.<|im_end|>
tây du ký: mối tình ngoại truyện 2, action romance
Thanh gươm diệt quỷ, Action\n
TH," Your query seems to be incomplete or unclear. Please provide a specific keyword or phrase related to a film genre, title or director so that I can help you find the appropriate category."
tan học đừng vội về, Văn học
trò chơi khao khát, Action/Adventure
HOC VIEN DO DEN, Action | Adventure | Sci-fi\n
chuyện tình paris,romance drama
gã hề ma quái, Horror
fan," Fan films are independent productions made by fans, usually based on existing movies or TV series. They often feature characters and settings from these source materials but may also include new stories and characters. These films can be a great way for fans to explore their passion for a particular movie or show while sharing their creativity with others."
link eat love kill," Action, Drama, Romance"
BI MAT NOI GOC TOI, Action
souma, Action/Adventure
hướng dương ngược nắng,action\n
ngự giao ký , action |
tình trong lửa hận," Action, Romance, War"
Bạn trai tôi là hồ ly, Action\n
gia đình chân to phiêu lưu ký, Drama
điệu múa thiên nga," Action, Adventure\n"
"tôi, robot", Sci-Fi
chiêu dao, Action
the killer's shopping list, Action/Thriller
đ, Horror\n
bi kịch thượng lưu, action
truy tìm ký ức, Horror
SPY ,Action/Adventure <|im_end|>\n\nCategory: Action/Adventure
người vận chuyển, action
THAN," Action, Adventure"
kí sinh trùng,"Category: Drama, Romance"
sa,Not Found
teen titans s2, Action/Adventure
kaguya, Anime/Manga
bánh mì ông màu, Drama/Adventure <|im_end|>\n\n
spider-man: far from home, Action/Adventure
our, I\
mối tình oan gia,Romance
lee jun ki,"Romance, Drama, Action"
biệt đội chó bull,Action\n
thế giới hoàn mỹ,Drama
hồ ly, Tragédia\n
THANH," I cannot find a specific category for the keyword ""THANH"". Please provide more information or a different keyword related to film genres."
kênh k+1 hd,Action/Adventure
ohrora tiểu thư uy quyền," action, adventure, fantasy"
gia đình điệp viên,tragedy
